ID,Nome,Tipo,Sub-Tipo,Local,Imagem,Descrição,Interconexão 1,Interconexão 2,Interconexão 3,Interconexão 4,Interconexão 5,Interconexão 6,Interconexão 7,Interconexão 8,Interconexão 9,Interconexão 10,Interconexão 11,Interconexão 12,Interconexão 13,Interconexão 14,Interconexão 15,Dados consolidados,Fonte da descrição
CH-0081,Cícero Dias,Personagem,,,,"Cícero Dias foi pintor pernambucano nascido em Escada, reconhecido como uma das figuras importantes do modernismo brasileiro. Sua obra transitou entre referências nordestinas, experimentação visual e diálogo internacional, especialmente após sua aproximação com ambientes artísticos europeus. Embora tenha vivido parte da vida fora de Pernambuco, manteve forte relação simbólica com a paisagem, a cultura e a memória de sua terra natal. conecta-se a Roberto Burle Marx, aproximando artes visuais, modernismo, paisagem e construção de uma identidade estética ligada ao Recife e a Pernambuco.",Roberto Burle Marx,,,,,,,,,,,,,,,"CH-0081 — Cícero Dias
Classificação: Personagem
Descrição: Cícero Dias foi pintor pernambucano nascido em Escada, reconhecido como uma das figuras importantes do modernismo brasileiro. Sua obra transitou entre referências nordestinas, experimentação visual e diálogo internacional, especialmente após sua aproximação com ambientes artísticos europeus. Embora tenha vivido parte da vida fora de Pernambuco, manteve forte relação simbólica com a paisagem, a cultura e a memória de sua terra natal. conecta-se a Roberto Burle Marx, aproximando artes visuais, modernismo, paisagem e construção de uma identidade estética ligada ao Recife e a Pernambuco.
Interconexões: Roberto Burle Marx",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0082,Cid Sampaio,Personagem,,,,"Cid Sampaio foi empresário, engenheiro e político pernambucano, governador de Pernambuco entre 1959 e 1963. Sua trajetória se insere em um período de modernização, industrialização e intensas disputas políticas no estado. Como liderança pública, relacionou-se a temas de desenvolvimento regional, infraestrutura e economia nordestina. conecta-se à Sudene, ao Banco do Nordeste, a Miguel Arraes, Cordeiro de Farias e Eraldo Gueiros, permitindo observar a rede de governadores, instituições e projetos de desenvolvimento que marcaram Pernambuco no século XX.",Sudene,Banco do Nordeste,Miguel Arraes,Cordeiro de Farias,Eraldo Gueiros,,,,,,,,,,,"CH-0082 — Cid Sampaio
Classificação: Personagem
Descrição: Cid Sampaio foi empresário, engenheiro e político pernambucano, governador de Pernambuco entre 1959 e 1963. Sua trajetória se insere em um período de modernização, industrialização e intensas disputas políticas no estado. Como liderança pública, relacionou-se a temas de desenvolvimento regional, infraestrutura e economia nordestina. conecta-se à Sudene, ao Banco do Nordeste, a Miguel Arraes, Cordeiro de Farias e Eraldo Gueiros, permitindo observar a rede de governadores, instituições e projetos de desenvolvimento que marcaram Pernambuco no século XX.
Interconexões: Sudene; Banco do Nordeste; Miguel Arraes; Cordeiro de Farias; Eraldo Gueiros",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0083,Cinema da Glória,Local,Cinema,São José,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GzDAstq02kNntTQyqrU7FozutlyzGLmKZ3dkcEjCzPMdlQqJ063eF0H9He_O2flY8LugC2FCeHfQfmM-lxCcjXMUuQKqtE00-w3BnEy1oH7UmbgPgMr6vWFayYrcZtnZ7eTLBF7s93lxsMjcTGVuSNY2sgqfRKt0ykpmoZcRA3GCgv_0zrVVFtRSpfcTbQtj6_oZQUeXxXPqw?fife=s16383,"Cinema da Gloria é uma cinema localizada em São José, no Recife/Pernambuco. O espaço se relaciona à formação cultural, educacional ou artística de Pernambuco e ajuda a preservar memórias, práticas e experiências coletivas. aparece associado a Mercado de São José, indicando sua função como registro de conhecimento, sociabilidade e produção cultural. o registro aproxima educação, patrimônio, cultura urbana e trajetórias históricas que atravessam a cidade.",Mercado de São José,,,,,,,,,,,,,,,"CH-0083 — Cinema da Glória
Classificação: Local / Cinema / São José
Descrição: Cinema da Gloria é uma cinema localizada em São José, no Recife/Pernambuco. O espaço se relaciona à formação cultural, educacional ou artística de Pernambuco e ajuda a preservar memórias, práticas e experiências coletivas. aparece associado a Mercado de São José, indicando sua função como registro de conhecimento, sociabilidade e produção cultural. o registro aproxima educação, patrimônio, cultura urbana e trajetórias históricas que atravessam a cidade.
Interconexões: Mercado de São José",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0084,Cleto Campelo,Personagem,,,,"Cleto Campelo é uma figura associada à memória histórica, política, cultural ou urbana de Pernambuco. Sua trajetória se relaciona a Sergio Loreto e Coluna Prestes, o que indica sua relevância como elo entre biografia individual e memória pública. Seu registro ajuda a explicar como trajetórias pessoais se transformam em nomes de ruas, pontes, praças, instituições, movimentos ou referências culturais. Cleto Campelo funciona como registro de articulação entre personagens, fatos históricos e espaços da cidade, permitindo visualizar a história de Pernambuco como uma rede de relações.",Sérgio Loreto,Coluna Prestes,,,,,,,,,,,,,,"CH-0084 — Cleto Campelo
Classificação: Personagem
Descrição: Cleto Campelo é uma figura associada à memória histórica, política, cultural ou urbana de Pernambuco. Sua trajetória se relaciona a Sergio Loreto e Coluna Prestes, o que indica sua relevância como elo entre biografia individual e memória pública. Seu registro ajuda a explicar como trajetórias pessoais se transformam em nomes de ruas, pontes, praças, instituições, movimentos ou referências culturais. Cleto Campelo funciona como registro de articulação entre personagens, fatos históricos e espaços da cidade, permitindo visualizar a história de Pernambuco como uma rede de relações.
Interconexões: Sérgio Loreto; Coluna Prestes",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0085,Clube Internacional do Recife,Local,Clube,Madalena,,"Clube Intercional do Recife é um clube localizado em Madalena, no Recife/Pernambuco. O registro se relaciona à cultura popular, à sociabilidade de bairro e às manifestações festivas que marcam a identidade de Pernambuco. aparece associado a Roberto Burle Marx e Praça Euclides da Cunha, mostrando como clubes, agremiações e espaços coletivos conectam música, carnaval, esporte, lazer e memória comunitária. Clube Intercional do Recife ajuda a revelar a cidade como rede viva de encontros e tradições.",Roberto Burle Marx,Praça Euclides da Cunha,,,,,,,,,,,,,,"CH-0085 — Clube Internacional do Recife
Classificação: Local / Clube / Madalena
Descrição: Clube Intercional do Recife é um clube localizado em Madalena, no Recife/Pernambuco. O registro se relaciona à cultura popular, à sociabilidade de bairro e às manifestações festivas que marcam a identidade de Pernambuco. aparece associado a Roberto Burle Marx e Praça Euclides da Cunha, mostrando como clubes, agremiações e espaços coletivos conectam música, carnaval, esporte, lazer e memória comunitária. Clube Intercional do Recife ajuda a revelar a cidade como rede viva de encontros e tradições.
Interconexões: Roberto Burle Marx; Praça Euclides da Cunha",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0086,Clube Náutico Capibaribe,Local,Clube,Aflitos,http://www.waintercambio.com.br/wp-content/uploads/2017/10/nautico-site.jpg,"Das regatas que celebravam a vitória legalista e destruição de Canudos, nasceu o Clube das Regatas Náutico Capibaribe

O Náutico celebrou 120 anos no dia 7/4/21, mas sua história começa antes ainda. Precisamente em 1987, quando um grupo de rapazes, amantes da prática do remo, nas então águas claras do Capibaribe, que saiam do Cais da Lingueta até o bairro de Apipucos, então já uma zona para famílias abastadas, entre eles Hermann Ledebour e o líder do grupo João Victor da Cruz Alfarra. 

Para celebrar a vitória legalista em Canudos, uma regata foi organizada para 21/11/1987 e seu sucesso serviu de incentivo para criação do Clube dos Pimpões, que imediatamente rivalizou com o grupo da Lingueta. 

O Clube dos Pimpões foi transformado em Clube Náutico Capibaribe ao ser reorganizado, depois de uma existência efêmera, a reunião de fundação aconteceu em 7/4/1901, sendo o primeiro presidente Antonio Dias Ferreira.  Do Remo ao Futebol se lavra com o Clássico dos Clássicos

A prática futebolística já tinha feito o Náutico perder sócios para o Sport, fundado em 1905 pelo ex-sócio Guilherme de Aquino, que enxergou cedo o forte apelo popular do esporte inglês, cuja resistência pela adoção era liderada no Náutico por ninguém menos que Bento Magalhães, o que só iria ocorrer em 14/7/1909 por iniciativa do presidente Ernesto Pereira Carneiro, que temia mais perdas em suas fileiras.   No dia 24/7/1909 disputado o primeiro Clássico dos Clássicos, no Britsh Club, a época localizado na Avenida Rui Barbosa, resultando em surpreendente vitória dos novatos: 3 x 1. 
Começava assim a maior rivalidade do futebol pernambucano.",Avenida Rosa e Silva,Sport Club do Recife,Santa Cruz Futebol Clube,Clube Internacional do Recife,Clube Barroso,Clube de Fluvial Recreativo,Cais da Lingueta,Bento Magalhães,,,,,,,,"CH-0086 — Clube Náutico Capibaribe
Classificação: Local / Clube / Aflitos
Descrição: Das regatas que celebravam a vitória legalista e destruição de Canudos, nasceu o Clube das Regatas Náutico Capibaribe

O Náutico celebrou 120 anos no dia 7/4/21, mas sua história começa antes ainda. Precisamente em 1987, quando um grupo de rapazes, amantes da prática do remo, nas então águas claras do Capibaribe, que saiam do Cais da Lingueta até o bairro de Apipucos, então já uma zona para famílias abastadas, entre eles Hermann Ledebour e o líder do grupo João Victor da Cruz Alfarra. 

Para celebrar a vitória legalista em Canudos, uma regata foi organizada para 21/11/1987 e seu sucesso serviu de incentivo para criação do Clube dos Pimpões, que imediatamente rivalizou com o grupo da Lingueta. 

O Clube dos Pimpões foi transformado em Clube Náutico Capibaribe ao ser reorganizado, depois de uma existência efêmera, a reunião de fundação aconteceu em 7/4/1901, sendo o primeiro presidente Antonio Dias Ferreira.  Do Remo ao Futebol se lavra com o Clássico dos Clássicos

A prática futebolística já tinha feito o Náutico perder sócios para o Sport, fundado em 1905 pelo ex-sócio Guilherme de Aquino, que enxergou cedo o forte apelo popular do esporte inglês, cuja resistência pela adoção era liderada no Náutico por ninguém menos que Bento Magalhães, o que só iria ocorrer em 14/7/1909 por iniciativa do presidente Ernesto Pereira Carneiro, que temia mais perdas em suas fileiras.   No dia 24/7/1909 disputado o primeiro Clássico dos Clássicos, no Britsh Club, a época localizado na Avenida Rui Barbosa, resultando em surpreendente vitória dos novatos: 3 x 1. 
Começava assim a maior rivalidade do futebol pernambucano.
Interconexões: Avenida Rosa e Silva; Sport Club do Recife; Santa Cruz Futebol Clube; Clube Internacional do Recife; Clube Barroso; Clube de Fluvial Recreativo; Cais da Lingueta; Bento Magalhães",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0087,Clube Português,Local,Clube,Graças,http://jconlineimagem.ne10.uol.com.br/imagem/noticia/2016/11/24/normal/62ea7468e55a4096f6aef0de7bf04d83.jpg,"Clube Portugues é um clube localizado em Graças, no Recife/Pernambuco. O registro se relaciona à cultura popular, à sociabilidade de bairro e às manifestações festivas que marcam a identidade de Pernambuco. aparece associado a Avenida Rosa e Silva e Praça do Entrocamento, mostrando como clubes, agremiações e espaços coletivos conectam música, carnaval, esporte, lazer e memória comunitária. Clube Portugues ajuda a revelar a cidade como rede viva de encontros e tradições.",Avenida Rosa e Silva,Praça do Entroncamento,,,,,,,,,,,,,,"CH-0087 — Clube Português
Classificação: Local / Clube / Graças
Descrição: Clube Portugues é um clube localizado em Graças, no Recife/Pernambuco. O registro se relaciona à cultura popular, à sociabilidade de bairro e às manifestações festivas que marcam a identidade de Pernambuco. aparece associado a Avenida Rosa e Silva e Praça do Entrocamento, mostrando como clubes, agremiações e espaços coletivos conectam música, carnaval, esporte, lazer e memória comunitária. Clube Portugues ajuda a revelar a cidade como rede viva de encontros e tradições.
Interconexões: Avenida Rosa e Silva; Praça do Entroncamento",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0088,Colégio Agnes,Local,Colégio,Graças,,"Colégio Agnes é um colégio localizado em Graças, no Recife/Pernambuco. O espaço se relaciona à formação cultural, educacional ou artística de Pernambuco e ajuda a preservar memórias, práticas e experiências coletivas. aparece associado a Avenida Rui Barbosa, Colégio Vera Cruz, Colégio Damas e Colégio São Luís, indicando sua função como registro de conhecimento, sociabilidade e produção cultural. o registro aproxima educação, patrimônio, cultura urbana e trajetórias históricas que atravessam a cidade.",Avenida Rui Barbosa,Colégio Vera Cruz,Colégio Damas,Colégio São Luís,,,,,,,,,,,,"CH-0088 — Colégio Agnes
Classificação: Local / Colégio / Graças
Descrição: Colégio Agnes é um colégio localizado em Graças, no Recife/Pernambuco. O espaço se relaciona à formação cultural, educacional ou artística de Pernambuco e ajuda a preservar memórias, práticas e experiências coletivas. aparece associado a Avenida Rui Barbosa, Colégio Vera Cruz, Colégio Damas e Colégio São Luís, indicando sua função como registro de conhecimento, sociabilidade e produção cultural. o registro aproxima educação, patrimônio, cultura urbana e trajetórias históricas que atravessam a cidade.
Interconexões: Avenida Rui Barbosa; Colégio Vera Cruz; Colégio Damas; Colégio São Luís",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0089,Colégio Americano Batista,Local,Colégio,Graças,,"Colégio Americano Batista é um colégio localizado em Graças, no Recife/Pernambuco. O espaço se relaciona à formação cultural, educacional ou artística de Pernambuco e ajuda a preservar memórias, práticas e experiências coletivas. aparece associado a Igreja da Capunga, Avenida Agamenon Magalhães e Rua Dom Bosco, indicando sua função como registro de conhecimento, sociabilidade e produção cultural. o registro aproxima educação, patrimônio, cultura urbana e trajetórias históricas que atravessam a cidade.",Igreja da Capunga,Avenida Agamenon Magalhães,Rua Dom Bosco,,,,,,,,,,,,,"CH-0089 — Colégio Americano Batista
Classificação: Local / Colégio / Graças
Descrição: Colégio Americano Batista é um colégio localizado em Graças, no Recife/Pernambuco. O espaço se relaciona à formação cultural, educacional ou artística de Pernambuco e ajuda a preservar memórias, práticas e experiências coletivas. aparece associado a Igreja da Capunga, Avenida Agamenon Magalhães e Rua Dom Bosco, indicando sua função como registro de conhecimento, sociabilidade e produção cultural. o registro aproxima educação, patrimônio, cultura urbana e trajetórias históricas que atravessam a cidade.
Interconexões: Igreja da Capunga; Avenida Agamenon Magalhães; Rua Dom Bosco",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0090,Colégio Damas,Local,Colégio,Graças,,"Colégio Damas é um colégio localizado em Graças, no Recife/Pernambuco. O espaço se relaciona à formação cultural, educacional ou artística de Pernambuco e ajuda a preservar memórias, práticas e experiências coletivas. aparece associado a Avenida Rui Barbosa, Academia Pernambucana de Letras, Ponte D'Uchôa, Colégio Vera Cruz, Colégio Damas e Colégio São Luís, indicando sua função como registro de conhecimento, sociabilidade e produção cultural. o registro aproxima educação, patrimônio, cultura urbana e trajetórias históricas que atravessam a cidade.",Avenida Rui Barbosa,Academia Pernambucana de Letras,Ponte D'Uchôa,Colégio Vera Cruz,Colégio São Luís,,,,,,,,,,,"CH-0090 — Colégio Damas
Classificação: Local / Colégio / Graças
Descrição: Colégio Damas é um colégio localizado em Graças, no Recife/Pernambuco. O espaço se relaciona à formação cultural, educacional ou artística de Pernambuco e ajuda a preservar memórias, práticas e experiências coletivas. aparece associado a Avenida Rui Barbosa, Academia Pernambucana de Letras, Ponte D'Uchôa, Colégio Vera Cruz, Colégio Damas e Colégio São Luís, indicando sua função como registro de conhecimento, sociabilidade e produção cultural. o registro aproxima educação, patrimônio, cultura urbana e trajetórias históricas que atravessam a cidade.
Interconexões: Avenida Rui Barbosa; Academia Pernambucana de Letras; Ponte D'Uchôa; Colégio Vera Cruz; Colégio São Luís",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0091,Colégio Vera Cruz,Local,Colégio,Graças,,"Colégio Vera Cruz é um colégio localizado em Graças, no Recife/Pernambuco. O espaço se relaciona à formação cultural, educacional ou artística de Pernambuco e ajuda a preservar memórias, práticas e experiências coletivas. aparece associado a Avenida Rui Barbosa, Colégio Agnes, Colégio Damas, Colégio São Luís e Praça do Entrocamento, indicando sua função como registro de conhecimento, sociabilidade e produção cultural. o registro aproxima educação, patrimônio, cultura urbana e trajetórias históricas que atravessam a cidade.",Avenida Rui Barbosa,Colégio Agnes,Colégio Damas,Colégio São Luís,Praça do Entroncamento,,,,,,,,,,,"CH-0091 — Colégio Vera Cruz
Classificação: Local / Colégio / Graças
Descrição: Colégio Vera Cruz é um colégio localizado em Graças, no Recife/Pernambuco. O espaço se relaciona à formação cultural, educacional ou artística de Pernambuco e ajuda a preservar memórias, práticas e experiências coletivas. aparece associado a Avenida Rui Barbosa, Colégio Agnes, Colégio Damas, Colégio São Luís e Praça do Entrocamento, indicando sua função como registro de conhecimento, sociabilidade e produção cultural. o registro aproxima educação, patrimônio, cultura urbana e trajetórias históricas que atravessam a cidade.
Interconexões: Avenida Rui Barbosa; Colégio Agnes; Colégio Damas; Colégio São Luís; Praça do Entroncamento",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0092,Colégio São Luís,Local,Colégio,Graças,,"Colégio São Luís é um colégio localizado em Graças, no Recife/Pernambuco. O espaço se relaciona à formação cultural, educacional ou artística de Pernambuco e ajuda a preservar memórias, práticas e experiências coletivas. aparece associado a Avenida Rui Barbosa, Colégio Damas e Colégio Vera Cruz, indicando sua função como registro de conhecimento, sociabilidade e produção cultural. o registro aproxima educação, patrimônio, cultura urbana e trajetórias históricas que atravessam a cidade.",Avenida Rui Barbosa,Colégio Damas,Colégio Vera Cruz,,,,,,,,,,,,,"CH-0092 — Colégio São Luís
Classificação: Local / Colégio / Graças
Descrição: Colégio São Luís é um colégio localizado em Graças, no Recife/Pernambuco. O espaço se relaciona à formação cultural, educacional ou artística de Pernambuco e ajuda a preservar memórias, práticas e experiências coletivas. aparece associado a Avenida Rui Barbosa, Colégio Damas e Colégio Vera Cruz, indicando sua função como registro de conhecimento, sociabilidade e produção cultural. o registro aproxima educação, patrimônio, cultura urbana e trajetórias históricas que atravessam a cidade.
Interconexões: Avenida Rui Barbosa; Colégio Damas; Colégio Vera Cruz",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0093,Coluna Prestes,Fato Histórico,Ambiente,,,"Coluna Prestes é um ambiente relacionado à história de Pernambuco. Relaciona-se a Sergio Loreto, Cleto Campelo e Cordeiro de Fárias, formando uma ponte entre acontecimentos, espaços urbanos e personagens públicos. O registro ajuda a contextualizar disputas políticas, mudanças sociais, conflitos, práticas culturais ou transformações ambientais que marcaram a formação pernambucana. Coluna Prestes funciona como eixo narrativo para compreender como eventos coletivos deixam marcas na paisagem, na memória pública e nas conexões entre diferentes pontos do território.",Sérgio Loreto,Cleto Campelo,Cordeiro de Farias,,,,,,,,,,,,,"CH-0093 — Coluna Prestes
Classificação: Fato Histórico / Ambiente
Descrição: Coluna Prestes é um ambiente relacionado à história de Pernambuco. Relaciona-se a Sergio Loreto, Cleto Campelo e Cordeiro de Fárias, formando uma ponte entre acontecimentos, espaços urbanos e personagens públicos. O registro ajuda a contextualizar disputas políticas, mudanças sociais, conflitos, práticas culturais ou transformações ambientais que marcaram a formação pernambucana. Coluna Prestes funciona como eixo narrativo para compreender como eventos coletivos deixam marcas na paisagem, na memória pública e nas conexões entre diferentes pontos do território.
Interconexões: Sérgio Loreto; Cleto Campelo; Cordeiro de Farias",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0094,Companhia das Índias Ocidentais,Fato Histórico,Ambiente,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwDV4Q__ePCEU3oL0k8EZ62alpHqKzQQI7p-ZKYOyTJkdmmjWVvcrnOY-mDGNAxi5tikYea4-pZEJfyReSZMZMa1FRyOU6lhzOd1U7iaX7CEUUNpcUMgwkuTgk5oyyXxELPI7OFeZBt_jIP4MIkNjNkQc6ZDAonIMp9rRPAo8TSD7H8Pgdj181ncOxIynQ33_u_IBilwm5nYw?fife=s16383,"Companhia das Inidias Orientais é um ambiente relacionado à história de Pernambuco. Relaciona-se a Mauricio de Nassau, formando uma ponte entre acontecimentos, espaços urbanos e personagens públicos. O registro ajuda a contextualizar disputas políticas, mudanças sociais, conflitos, práticas culturais ou transformações ambientais que marcaram a formação pernambucana. Companhia das Inidias Orientais funciona como eixo narrativo para compreender como eventos coletivos deixam marcas na paisagem, na memória pública e nas conexões entre diferentes pontos do território.",Maurício de Nassau,Guerra Luso-Holandesa,,,,,,,,,,,,,,"CH-0094 — Companhia das Índias Ocidentais
Classificação: Fato Histórico / Ambiente
Descrição: Companhia das Inidias Orientais é um ambiente relacionado à história de Pernambuco. Relaciona-se a Mauricio de Nassau, formando uma ponte entre acontecimentos, espaços urbanos e personagens públicos. O registro ajuda a contextualizar disputas políticas, mudanças sociais, conflitos, práticas culturais ou transformações ambientais que marcaram a formação pernambucana. Companhia das Inidias Orientais funciona como eixo narrativo para compreender como eventos coletivos deixam marcas na paisagem, na memória pública e nas conexões entre diferentes pontos do território.
Interconexões: Maurício de Nassau; Guerra Luso-Holandesa",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0095,Confederação do Equador,Fato Histórico,Revolução,,,"Confederação do Equador é uma revolução relacionado à história de Pernambuco. Relaciona-se a Manuel de Carvalho, Sebastião de Castro Caldas, Bernardo Vieira de Melo, Forte das Cinco Pontas, Noite dos Tambores Silenciosos e Pedro da Silva Pedroso, formando uma ponte entre acontecimentos, espaços urbanos e personagens públicos. O registro ajuda a contextualizar disputas políticas, mudanças sociais, conflitos, práticas culturais ou transformações ambientais que marcaram a formação pernambucana. Confederação do Equador funciona como eixo narrativo para compreender como eventos coletivos deixam marcas na paisagem, na memória pública e nas conexões entre diferentes pontos do território.",Manuel de Carvalho,Sebastião de Castro Caldas,Bernardo Vieira de Melo,Forte das Cinco Pontas,Noite dos Tambores Silenciosos,Pedro da Silva Pedroso,Francisco Paes Barreto,Frei Caneca,,,,,,,,"CH-0095 — Confederação do Equador
Classificação: Fato Histórico / Revolução
Descrição: Confederação do Equador é uma revolução relacionado à história de Pernambuco. Relaciona-se a Manuel de Carvalho, Sebastião de Castro Caldas, Bernardo Vieira de Melo, Forte das Cinco Pontas, Noite dos Tambores Silenciosos e Pedro da Silva Pedroso, formando uma ponte entre acontecimentos, espaços urbanos e personagens públicos. O registro ajuda a contextualizar disputas políticas, mudanças sociais, conflitos, práticas culturais ou transformações ambientais que marcaram a formação pernambucana. Confederação do Equador funciona como eixo narrativo para compreender como eventos coletivos deixam marcas na paisagem, na memória pública e nas conexões entre diferentes pontos do território.
Interconexões: Manuel de Carvalho; Sebastião de Castro Caldas; Bernardo Vieira de Melo; Forte das Cinco Pontas; Noite dos Tambores Silenciosos; Pedro da Silva Pedroso; Francisco Paes Barreto; Frei Caneca",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0096,Conselheiro Rosa e Silva,Personagem,,,,"Conselheiro Rosa e Sila é uma figura associada à memória histórica, política, cultural ou urbana de Pernambuco. Sua trajetória se relaciona a Avenida Rosa e Silva e Herculano Bandeira, o que indica sua relevância como elo entre biografia individual e memória pública. Seu registro ajuda a explicar como trajetórias pessoais se transformam em nomes de ruas, pontes, praças, instituições, movimentos ou referências culturais. Conselheiro Rosa e Sila funciona como registro de articulação entre personagens, fatos históricos e espaços da cidade, permitindo visualizar a história de Pernambuco como uma rede de relações.",Avenida Rosa e Silva,Herculano Bandeira,,,,,,,,,,,,,,"CH-0096 — Conselheiro Rosa e Silva
Classificação: Personagem
Descrição: Conselheiro Rosa e Sila é uma figura associada à memória histórica, política, cultural ou urbana de Pernambuco. Sua trajetória se relaciona a Avenida Rosa e Silva e Herculano Bandeira, o que indica sua relevância como elo entre biografia individual e memória pública. Seu registro ajuda a explicar como trajetórias pessoais se transformam em nomes de ruas, pontes, praças, instituições, movimentos ou referências culturais. Conselheiro Rosa e Sila funciona como registro de articulação entre personagens, fatos históricos e espaços da cidade, permitindo visualizar a história de Pernambuco como uma rede de relações.
Interconexões: Avenida Rosa e Silva; Herculano Bandeira",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0097,Convenção de Beberibe,Fato Histórico,Evento,,,"Convenção de Beberibe é um evento relacionado à história de Pernambuco. Relaciona-se a Manuel Inácio Vieira de Melo, Luis do Rego Barros, Gervásio Pires e Mercado de Beberibe, formando uma ponte entre acontecimentos, espaços urbanos e personagens públicos. O registro ajuda a contextualizar disputas políticas, mudanças sociais, conflitos, práticas culturais ou transformações ambientais que marcaram a formação pernambucana. Convenção de Beberibe funciona como eixo narrativo para compreender como eventos coletivos deixam marcas na paisagem, na memória pública e nas conexões entre diferentes pontos do território.",Manuel Inácio Vieira de Melo,Luís do Rego Barros,Gervásio Pires,Mercado de Beberibe,,,,,,,,,,,,"CH-0097 — Convenção de Beberibe
Classificação: Fato Histórico / Evento
Descrição: Convenção de Beberibe é um evento relacionado à história de Pernambuco. Relaciona-se a Manuel Inácio Vieira de Melo, Luis do Rego Barros, Gervásio Pires e Mercado de Beberibe, formando uma ponte entre acontecimentos, espaços urbanos e personagens públicos. O registro ajuda a contextualizar disputas políticas, mudanças sociais, conflitos, práticas culturais ou transformações ambientais que marcaram a formação pernambucana. Convenção de Beberibe funciona como eixo narrativo para compreender como eventos coletivos deixam marcas na paisagem, na memória pública e nas conexões entre diferentes pontos do território.
Interconexões: Manuel Inácio Vieira de Melo; Luís do Rego Barros; Gervásio Pires; Mercado de Beberibe",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0098,Convento de Santo Antônio,Local,Templo Religioso,Santo Antônio,https://pt.wikipedia.org/wiki/Convento_e_Igreja_de_Santo_Ant%C3%B4nio_(Recife)#/media/File:CISAR03.jpg,"Convento de Santo Antonio é um templo religioso localizado em Santo Antônio, no Recife/Pernambuco. O registro representa a presença da religiosidade, da arquitetura sacra e das práticas devocionais na formação histórica de Pernambuco. aparece associado a Cruz do Patrão, Rua do Imperador e Henrique Dias, evidenciando como igrejas, conventos e espaços de fé funcionam como pontos de encontro, patrimônio e referência urbana. conecta espiritualidade, arte, sociabilidade e história local.",Cruz do Patrão,Rua do Imperador,Henrique Dias,,,,,,,,,,,,,"CH-0098 — Convento de Santo Antônio
Classificação: Local / Templo Religioso / Santo Antônio
Descrição: Convento de Santo Antonio é um templo religioso localizado em Santo Antônio, no Recife/Pernambuco. O registro representa a presença da religiosidade, da arquitetura sacra e das práticas devocionais na formação histórica de Pernambuco. aparece associado a Cruz do Patrão, Rua do Imperador e Henrique Dias, evidenciando como igrejas, conventos e espaços de fé funcionam como pontos de encontro, patrimônio e referência urbana. conecta espiritualidade, arte, sociabilidade e história local.
Interconexões: Cruz do Patrão; Rua do Imperador; Henrique Dias",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0099,Cordeiro de Farias,Personagem,,,,"Cordeiro de Farias foi militar e político brasileiro com atuação relevante no século XX. Em Pernambuco, sua memória se relaciona à administração estadual, à política nacional e às conexões com personagens como Sérgio Loreto, Cid Sampaio e Etelvino Lins. Sua trajetória atravessa temas como tenentismo, Estado Novo, governo militar e gestão pública. funciona como elo entre história militar, política estadual e redes de poder que marcaram o Brasil republicano.",Sérgio Loreto,Coluna Prestes,Cid Sampaio,Etelvino Lins,Palácio do Campo das Princesas,,,,,,,,,,,"CH-0099 — Cordeiro de Farias
Classificação: Personagem
Descrição: Cordeiro de Farias foi militar e político brasileiro com atuação relevante no século XX. Em Pernambuco, sua memória se relaciona à administração estadual, à política nacional e às conexões com personagens como Sérgio Loreto, Cid Sampaio e Etelvino Lins. Sua trajetória atravessa temas como tenentismo, Estado Novo, governo militar e gestão pública. funciona como elo entre história militar, política estadual e redes de poder que marcaram o Brasil republicano.
Interconexões: Sérgio Loreto; Coluna Prestes; Cid Sampaio; Etelvino Lins; Palácio do Campo das Princesas",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
